ID	Site	Polygon	Site_ID	St	At	RH	Slope	DEM	Aspect	Soil	MSI	NDVI	Bt
P6-I35	For	P6	P6For	21.7	18.8	47.81411	6.45759	3167	83.65981	1	0.55066	0.86031	30.4
P6-I37	For	P6	P6For	29.4	17.9	50.1	4.04457	3289	45	3	1.09858	0.47102	33
P6-O1	Agr	P6	P6Agr	20.3	16.5	46.4	0	2879	0	1	1.17233	0.65962	30.3
P6-O2	Agr	P6	P6Agr	22.2	22.5	43.2	3.19945	2879	296.56506	1	1.20653	0.35751	34.9
P6-O3	Agr	P6	P6Agr	21.9	19.2	37.7	8.53074	2879	0	1	0.86506	0.34315	30.2
P6-O4	Agr	P6	P6Agr	21.3	20.2	27.5	7.86093	2879	354.80557	1	0.86685	0.29416	29.3
P6-O5	Agr	P6	P6Agr	20.6	20.8	31.3	18.75624	2876	353.65979	3	0.85726	0.44802	35.1
P6-O6	Agr	P6	P6Agr	25.3	22.6	35.4	3.19945	2879	296.56506	1	1.20653	0.35751	33.5
P6-O7	Agr	P6	P6Agr	29.7	22.5	37.8	0	2871	0	1	0.74861	0.671	30.7
P6-O8	Agr	P6	P6Agr	23.8	19.6	37.1	2.86224	2881	90	1	0.86918	0.6939	28.4
P6-O9	Agr	P6	P6Agr	22.7	21.5	29.2	1.43209	2882	0	1	0.54033	0.76327	28.6
P6-O10	Agr	P6	P6Agr	22.7	21.5	29.2	1.43209	2882	0	1	0.54033	0.76327	32.3
P6-O11	Agr	P6	P6Agr	25	24.3	25.3	2.86224	2883	90	1	0.81307	0.70284	34.6
P6-O12	Agr	P6	P6Agr	18.8	21.2	31.5	5.43775	2892	66.80141	1	0.83873	0.58865	29.5
P6-O13	Agr	P6	P6Agr	22.3	20.6	31.1	0	2878	0	4	0.66498	0.67975	27
P6-O14	Agr	P6	P6Agr	21.8	21.5	34.6	3.03563	2878	135	1	0.76848	0.73795	31.3
P6-O15	Agr	P6	P6Agr	19.2	18.4	33.9	2.86224	2878	90	4	0.73488	0.73667	31.3
P6-O16	Agr	P6	P6Agr	19.2	18.4	33.9	2.86224	2878	90	4	0.73488	0.73667	31.3
P6-O17	Agr	P6	P6Agr	16.5	12.8	64.1	1.01272	2880	135	1	0.96171	0.46053	28.2
P6-O18	Agr	P6	P6Agr	20.9	17	55.4	0	2880	0	1	0.82044	0.62114	31.9
P6-O19	Agr	P6	P6Agr	20.9	17	55.4	0	2880	0	1	0.82044	0.62114	31.3
P6-O20	Agr	P6	P6Agr	20.9	17	55.4	0	2880	0	1	0.82044	0.62114	31.3
P6-O21	Agr	P6	P6Agr	16.6	15.6	55.1	2.26362	2880	161.56505	1	0.81325	0.62456	27.6
P6-O22	Agr	P6	P6Agr	21	17.5	54	0	2879	0	1	0.77913	0.72883	34
P6-O23	Agr	P6	P6Agr	19.2	17.8	52.1	2.86224	2875	270	1	0.67263	0.76874	27.7
P6-O24	Agr	P6	P6Agr	20.3	15.5	51.1	2.86224	2871	270	1	0.74153	0.74952	31.5
P6-O25	Agr	P6	P6Agr	21	21.6	50.1	2.86224	2876	270	1	0.94079	0.77259	31.3
P6-O26	Agr	P6	P6Agr	21	21.6	50.1	2.86224	2876	270	1	0.94079	0.77259	31.3
P6-O27	Agr	P6	P6Agr	18.8	18.1	29.1	0	2879	0	1	0.84514	0.6715	32.5
P6-O28	Agr	P6	P6Agr	18.8	18.1	29.1	0	2879	0	1	0.84514	0.6715	31
P6-O29	Agr	P6	P6Agr	36.3	21	32.3	0	2880	0	1	0.76008	0.68608	33.3
P6-O30	Agr	P6	P6Agr	21.2	21.6	23.6	6.13714	2882	125.53767	1	0.79448	0.72487	33.2
P6-O31	Agr	P6	P6Agr	23.9	22.8	25.4	5.051	2881	135	1	0.68197	0.63842	33.2
P6-O32	Agr	P6	P6Agr	23.9	22.8	25.4	5.051	2881	135	1	0.68197	0.63842	34
P6-O33	Agr	P6	P6Agr	28.8	22.6	35.5	10.21918	2879	326.30994	3	0.83829	0.48002	31.8
P6-O34	Agr	P6	P6Agr	28.8	22.6	32.4	10.21918	2879	326.30994	3	0.83829	0.48002	29.8
